日期,TTB,TTM,TTS,URL
2025-01-01,,,,
2025-01-02,,,,
2025-01-03,,,,
2025-01-04,,,,
2025-01-05,,,,
2025-01-06,156.73,157.73,158.73,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250106.pdf
2025-01-07,157.22,158.22,159.22,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250107.pdf
2025-01-08,157.09,158.09,159.09,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250108.pdf
2025-01-09,157.43,158.43,159.43,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250109.pdf
2025-01-10,157.18,158.18,159.18,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250110.pdf
2025-01-11,,,,
2025-01-12,,,,
2025-01-13,,,,
2025-01-14,156.57,157.57,158.57,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250114.pdf
2025-01-15,157.08,158.08,159.08,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250115.pdf
2025-01-16,155.46,156.46,157.46,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250116.pdf
2025-01-17,154.25,155.25,156.25,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250117.pdf
2025-01-18,,,,
2025-01-19,,,,
2025-01-20,155.08,156.08,157.08,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250120.pdf
2025-01-21,155.10,156.10,157.10,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250121.pdf
2025-01-22,154.55,155.55,156.55,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250122.pdf
2025-01-23,155.50,156.50,157.50,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250123.pdf
2025-01-24,155.33,156.33,157.33,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250124.pdf
2025-01-25,,,,
2025-01-26,,,,
2025-01-27,154.60,155.60,156.60,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250127.pdf
2025-01-28,154.13,155.13,156.13,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250128.pdf
2025-01-29,154.68,155.68,156.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250129.pdf
2025-01-30,153.76,154.76,155.76,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250130.pdf
2025-01-31,153.43,154.43,155.43,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250131.pdf
2025-02-01,,,,
2025-02-02,,,,
2025-02-03,154.71,155.71,156.71,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250203.pdf
2025-02-04,154.35,155.35,156.35,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250204.pdf
2025-02-05,153.07,154.07,155.07,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250205.pdf
2025-02-06,151.61,152.61,153.61,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250206.pdf
2025-02-07,150.30,151.30,152.30,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250207.pdf
2025-02-08,,,,
2025-02-09,,,,
2025-02-10,150.96,151.96,152.96,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250210.pdf
2025-02-11,,,,
2025-02-12,152.26,153.26,154.26,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250212.pdf
2025-02-13,153.51,154.51,155.51,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250213.pdf
2025-02-14,151.81,152.81,153.81,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250214.pdf
2025-02-15,,,,
2025-02-16,,,,
2025-02-17,150.91,151.91,152.91,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250217.pdf
2025-02-18,150.67,151.67,152.67,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250218.pdf
2025-02-19,151.14,152.14,153.14,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250219.pdf
2025-02-20,150.13,151.13,152.13,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250220.pdf
2025-02-21,148.86,149.86,150.86,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250221.pdf
2025-02-22,,,,
2025-02-23,,,,
2025-02-24,,,,
2025-02-25,149.23,150.23,151.23,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250225.pdf
2025-02-26,147.92,148.92,149.92,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250226.pdf
2025-02-27,148.24,149.24,150.24,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250227.pdf
2025-02-28,148.67,149.67,150.67,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250228.pdf
2025-03-01,,,,
2025-03-02,,,,
2025-03-03,149.56,150.56,151.56,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250303.pdf
2025-03-04,148.26,149.26,150.26,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250304.pdf
2025-03-05,148.87,149.87,150.87,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250305.pdf
2025-03-06,148.25,149.25,150.25,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250306.pdf
2025-03-07,147.07,148.07,149.07,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250307.pdf
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,146.38,147.38,148.38,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250310.pdf
2025-03-11,145.68,146.68,147.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250311.pdf
2025-03-12,147.08,148.08,149.08,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250312.pdf
2025-03-13,147.31,148.31,149.31,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation250313.pdf
